Individuo,Orden de preferencia,Clave,Nombre de la Materia
1,5,2030,Análisis de datos 
12,5,2030,Análisis de datos 
13,4,2030,Análisis de datos 
25,1,2030,Análisis de datos 
32,3,2030,Análisis de datos 
35,4,2030,Análisis de datos 
48,1,2030,Análisis de datos 
53,3,2030,Análisis de datos 
56,1,2030,Análisis de datos 
59,2,2030,Análisis de datos 
68,1,2030,Análisis de datos 
90,1,2030,Análisis de datos 
91,2,2030,Análisis de datos 
105,1,2030,Análisis de datos 
1,4,2031,Análisis Multivariado
12,4,2031,Análisis Multivariado
13,2,2031,Análisis Multivariado
14,3,2031,Análisis Multivariado
15,2,2031,Análisis Multivariado
17,3,2031,Análisis Multivariado
19,1,2031,Análisis Multivariado
20,1,2031,Análisis Multivariado
22,3,2031,Análisis Multivariado
31,5,2031,Análisis Multivariado
35,2,2031,Análisis Multivariado
38,2,2031,Análisis Multivariado
43,5,2031,Análisis Multivariado
52,3,2031,Análisis Multivariado
57,2,2031,Análisis Multivariado
59,1,2031,Análisis Multivariado
72,3,2031,Análisis Multivariado
79,4,2031,Análisis Multivariado
80,3,2031,Análisis Multivariado
81,5,2031,Análisis Multivariado
82,5,2031,Análisis Multivariado
84,2,2031,Análisis Multivariado
89,2,2031,Análisis Multivariado
90,5,2031,Análisis Multivariado
91,3,2031,Análisis Multivariado
93,3,2031,Análisis Multivariado
95,3,2031,Análisis Multivariado
98,2,2031,Análisis Multivariado
100,2,2031,Análisis Multivariado
106,3,2031,Análisis Multivariado
109,2,2031,Análisis Multivariado
117,4,2031,Análisis Multivariado
120,4,2031,Análisis Multivariado
121,2,2031,Análisis Multivariado
123,4,2031,Análisis Multivariado
124,1,2031,Análisis Multivariado
16,3,2032,Análisis de Regresión
24,3,2032,Análisis de Regresión
29,3,2032,Análisis de Regresión
34,5,2032,Análisis de Regresión
36,3,2032,Análisis de Regresión
39,4,2032,Análisis de Regresión
45,5,2032,Análisis de Regresión
48,5,2032,Análisis de Regresión
49,1,2032,Análisis de Regresión
51,4,2032,Análisis de Regresión
56,4,2032,Análisis de Regresión
57,3,2032,Análisis de Regresión
59,3,2032,Análisis de Regresión
62,5,2032,Análisis de Regresión
64,5,2032,Análisis de Regresión
65,5,2032,Análisis de Regresión
66,5,2032,Análisis de Regresión
67,1,2032,Análisis de Regresión
68,4,2032,Análisis de Regresión
69,2,2032,Análisis de Regresión
70,5,2032,Análisis de Regresión
71,4,2032,Análisis de Regresión
72,4,2032,Análisis de Regresión
73,4,2032,Análisis de Regresión
74,2,2032,Análisis de Regresión
75,4,2032,Análisis de Regresión
77,4,2032,Análisis de Regresión
78,3,2032,Análisis de Regresión
79,5,2032,Análisis de Regresión
80,5,2032,Análisis de Regresión
81,2,2032,Análisis de Regresión
82,3,2032,Análisis de Regresión
83,5,2032,Análisis de Regresión
84,4,2032,Análisis de Regresión
85,2,2032,Análisis de Regresión
87,4,2032,Análisis de Regresión
89,1,2032,Análisis de Regresión
90,4,2032,Análisis de Regresión
91,5,2032,Análisis de Regresión
92,5,2032,Análisis de Regresión
94,2,2032,Análisis de Regresión
96,2,2032,Análisis de Regresión
97,4,2032,Análisis de Regresión
98,5,2032,Análisis de Regresión
100,5,2032,Análisis de Regresión
101,3,2032,Análisis de Regresión
102,3,2032,Análisis de Regresión
103,3,2032,Análisis de Regresión
104,4,2032,Análisis de Regresión
106,4,2032,Análisis de Regresión
108,3,2032,Análisis de Regresión
109,5,2032,Análisis de Regresión
111,4,2032,Análisis de Regresión
112,4,2032,Análisis de Regresión
113,4,2032,Análisis de Regresión
114,1,2032,Análisis de Regresión
115,5,2032,Análisis de Regresión
118,2,2032,Análisis de Regresión
119,4,2032,Análisis de Regresión
120,5,2032,Análisis de Regresión
121,4,2032,Análisis de Regresión
123,3,2032,Análisis de Regresión
124,3,2032,Análisis de Regresión
4,3,2033,Derivados
5,3,2033,Derivados
6,5,2033,Derivados
7,5,2033,Derivados
8,4,2033,Derivados
10,5,2033,Derivados
11,1,2033,Derivados
12,3,2033,Derivados
13,1,2033,Derivados
14,5,2033,Derivados
15,4,2033,Derivados
16,1,2033,Derivados
17,5,2033,Derivados
18,5,2033,Derivados
19,5,2033,Derivados
20,5,2033,Derivados
25,3,2033,Derivados
26,5,2033,Derivados
31,4,2033,Derivados
33,3,2033,Derivados
35,1,2033,Derivados
36,1,2033,Derivados
37,3,2033,Derivados
38,5,2033,Derivados
40,4,2033,Derivados
41,1,2033,Derivados
43,1,2033,Derivados
46,4,2033,Derivados
49,2,2033,Derivados
50,2,2033,Derivados
53,5,2033,Derivados
54,5,2033,Derivados
55,4,2033,Derivados
58,1,2033,Derivados
60,3,2033,Derivados
61,3,2033,Derivados
62,2,2033,Derivados
63,3,2033,Derivados
65,2,2033,Derivados
78,5,2033,Derivados
79,1,2033,Derivados
88,5,2033,Derivados
92,2,2033,Derivados
93,1,2033,Derivados
94,3,2033,Derivados
95,5,2033,Derivados
102,5,2033,Derivados
103,5,2033,Derivados
105,5,2033,Derivados
108,5,2033,Derivados
118,3,2033,Derivados
119,3,2033,Derivados
120,2,2033,Derivados
123,5,2033,Derivados
3,5,2034,Economía Matemática II
34,2,2034,Economía Matemática II
43,2,2034,Economía Matemática II
50,1,2034,Economía Matemática II
66,1,2034,Economía Matemática II
67,3,2034,Economía Matemática II
80,2,2034,Economía Matemática II
83,1,2034,Economía Matemática II
110,5,2034,Economía Matemática II
117,2,2034,Economía Matemática II
121,3,2034,Economía Matemática II
2,5,2035,Finanzas Publicas 
4,5,2035,Finanzas Publicas 
10,2,2035,Finanzas Publicas 
18,1,2035,Finanzas Publicas 
37,2,2035,Finanzas Publicas 
46,2,2035,Finanzas Publicas 
50,4,2035,Finanzas Publicas 
76,1,2035,Finanzas Publicas 
88,1,2035,Finanzas Publicas 
96,1,2035,Finanzas Publicas 
2,3,2036,Finanzas
61,2,2036,Finanzas
78,1,2036,Finanzas
88,2,2036,Finanzas
99,4,2036,Finanzas
107,2,2036,Finanzas
24,1,2037,Investigación de Operaciones II
25,5,2037,Investigación de Operaciones II
28,5,2037,Investigación de Operaciones II
29,2,2037,Investigación de Operaciones II
33,5,2037,Investigación de Operaciones II
34,1,2037,Investigación de Operaciones II
36,2,2037,Investigación de Operaciones II
40,1,2037,Investigación de Operaciones II
45,3,2037,Investigación de Operaciones II
47,1,2037,Investigación de Operaciones II
55,5,2037,Investigación de Operaciones II
60,5,2037,Investigación de Operaciones II
61,5,2037,Investigación de Operaciones II
69,3,2037,Investigación de Operaciones II
71,5,2037,Investigación de Operaciones II
72,5,2037,Investigación de Operaciones II
74,3,2037,Investigación de Operaciones II
75,3,2037,Investigación de Operaciones II
77,5,2037,Investigación de Operaciones II
80,1,2037,Investigación de Operaciones II
81,1,2037,Investigación de Operaciones II
82,2,2037,Investigación de Operaciones II
84,3,2037,Investigación de Operaciones II
85,1,2037,Investigación de Operaciones II
91,1,2037,Investigación de Operaciones II
96,3,2037,Investigación de Operaciones II
105,4,2037,Investigación de Operaciones II
107,1,2037,Investigación de Operaciones II
111,3,2037,Investigación de Operaciones II
113,5,2037,Investigación de Operaciones II
115,1,2037,Investigación de Operaciones II
46,1,2038,Legislacion de Seguros
76,3,2038,Legislacion de Seguros
3,4,2039,Modelos y Simulación
5,5,2039,Modelos y Simulación
11,3,2039,Modelos y Simulación
14,1,2039,Modelos y Simulación
15,3,2039,Modelos y Simulación
16,2,2039,Modelos y Simulación
17,4,2039,Modelos y Simulación
22,1,2039,Modelos y Simulación
24,4,2039,Modelos y Simulación
26,4,2039,Modelos y Simulación
27,5,2039,Modelos y Simulación
28,4,2039,Modelos y Simulación
29,4,2039,Modelos y Simulación
