danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.378|0.0541|8|-19.237|1|0.0385|0.93|0.00219|0.117|0.175|115.366|audio_features|2ax8gOAjvG2nbztOKKQRsk|spotify:track:2ax8gOAjvG2nbztOKKQRsk|https://api.spotify.com/v1/tracks/2ax8gOAjvG2nbztOKKQRsk|https://api.spotify.com/v1/audio-analysis/2ax8gOAjvG2nbztOKKQRsk|308622|5|Café Tacvba|El Mundo en Que Nací|1|32
0.454|0.419|9|-5.678|1|0.0255|0.196|0.0039|0.197|0.238|146.711|audio_features|3HMYsT5mnqQ57tVjvqlETb|spotify:track:3HMYsT5mnqQ57tVjvqlETb|https://api.spotify.com/v1/tracks/3HMYsT5mnqQ57tVjvqlETb|https://api.spotify.com/v1/audio-analysis/3HMYsT5mnqQ57tVjvqlETb|256773|3|Mon Laferte|Flaco|2|61
0.4|0.541|7|-4.527|1|0.0274|0.557|2.13e-05|0.136|0.268|99.343|audio_features|28UP90XhjCovLtieduYr9P|spotify:track:28UP90XhjCovLtieduYr9P|https://api.spotify.com/v1/tracks/28UP90XhjCovLtieduYr9P|https://api.spotify.com/v1/audio-analysis/28UP90XhjCovLtieduYr9P|227587|3|Mon Laferte|Mi Buen Amor|3|74
0.678|0.798|2|-6.42|1|0.0275|0.319|8.04e-06|0.692|0.688|115.995|audio_features|2VUKFxZjXI557zTA7VWXyc|spotify:track:2VUKFxZjXI557zTA7VWXyc|https://api.spotify.com/v1/tracks/2VUKFxZjXI557zTA7VWXyc|https://api.spotify.com/v1/audio-analysis/2VUKFxZjXI557zTA7VWXyc|214947|4|Bronco|Corazón Duro ( Primera Fila ) - En Vivo|4|41
0.596|0.484|10|-7.998|1|0.0257|0.0244|0.0161|0.113|0.464|129.887|audio_features|1DiUilN3hDilolLnocCh31|spotify:track:1DiUilN3hDilolLnocCh31|https://api.spotify.com/v1/tracks/1DiUilN3hDilolLnocCh31|https://api.spotify.com/v1/audio-analysis/1DiUilN3hDilolLnocCh31|278520|3|Mon Laferte|Tu Falta De Querer|5|43
0.357|0.755|5|-6.454|1|0.154|0.441|0.0|0.436|0.605|210.085|audio_features|3anjSZx9ImCzxFkqz5BGWE|spotify:track:3anjSZx9ImCzxFkqz5BGWE|https://api.spotify.com/v1/tracks/3anjSZx9ImCzxFkqz5BGWE|https://api.spotify.com/v1/audio-analysis/3anjSZx9ImCzxFkqz5BGWE|202307|4|Mon Laferte|Si Tú Me Quisieras|6|38
0.604|0.861|5|-6.484|1|0.0348|0.37|0.0|0.44|0.613|104.954|audio_features|7wPopPSCtJ882X1Xf2ejq0|spotify:track:7wPopPSCtJ882X1Xf2ejq0|https://api.spotify.com/v1/tracks/7wPopPSCtJ882X1Xf2ejq0|https://api.spotify.com/v1/audio-analysis/7wPopPSCtJ882X1Xf2ejq0|211480|4|Mon Laferte|Si Tú Me Quisieras - En Vivo|7|36
0.402|0.655|10|-7.49|1|0.0443|0.154|0.00102|0.783|0.564|129.882|audio_features|1zBpoBt0ss3onvb5wwFETQ|spotify:track:1zBpoBt0ss3onvb5wwFETQ|https://api.spotify.com/v1/tracks/1zBpoBt0ss3onvb5wwFETQ|https://api.spotify.com/v1/audio-analysis/1zBpoBt0ss3onvb5wwFETQ|278373|3|Mon Laferte|Tu Falta De Querer - En Vivo|8|54
0.601|0.677|7|-10.564|1|0.0285|0.519|2.77e-06|0.153|0.677|137.813|audio_features|1NDuLKOUpHWVUlmuza2Pko|spotify:track:1NDuLKOUpHWVUlmuza2Pko|https://api.spotify.com/v1/tracks/1NDuLKOUpHWVUlmuza2Pko|https://api.spotify.com/v1/audio-analysis/1NDuLKOUpHWVUlmuza2Pko|217000|4|Alaska Y Dinarama|Ni tú ni nadie|9|46
0.527|0.855|0|-6.674|1|0.0599|0.00548|0.000362|0.14|0.451|138.032|audio_features|4f6bE40jl7zuFJ3cOCwaI1|spotify:track:4f6bE40jl7zuFJ3cOCwaI1|https://api.spotify.com/v1/tracks/4f6bE40jl7zuFJ3cOCwaI1|https://api.spotify.com/v1/audio-analysis/4f6bE40jl7zuFJ3cOCwaI1|282760|4|Various Artists|Mi Vida|10|71
