alc_o_municipio,edad
20 DE NOVIEMBRE,1
ABASOLO,2
ACAJETE,3
ACAMBAY,11
ACAPULCO DE JUÁREZ,41
ACATLÁN,8
ACATZINGO,3
ACAXOCHITLÁN,1
ACOLMAN,188
ACOYACÁN,2
ACTOPAN,12
ACULCO,4
ACÁMBARO,2
AGUA BLANCA DE ITURBIDE,4
AGUA PRIETA,1
AGUASCALIENTES,49
AHUACATLÁN,4
AHUALULCO,1
AHUAZOTEPEC,2
AJACUBA,3
AJUCHITLÁN DEL PROGRESO,2
ALBORADA,1
ALCOZAUCA DE GUERRERO,1
ALFAJAYUCAN,3
ALMOLOYA,35
ALPOYECA,1
ALTAMIRA,9
ALTOTONGA,7
ALVARADO,1
AMACUZAC,3
AMANALCO,6
AMATENANGO DEL VALLE,1
AMAXAC DE GUERRERO,1
AMEALCO DE BONFIL,6
AMECAMECA,46
AMOZOC,5
APATZINGÁN,2
APAXCO,8
APETATITLÁN DE ANTONIO CARVAJAL,1
APIZACO,16
APODACA,10
APORO,1
AQUIXTLA,2
ATEMPAN,6
ATENCO,69
ATITALAQUIA,5
ATIZAPÁN DE ZARAGOZA,824
ATLACOMULCO,25
ATLAHUATLA,29
ATLANGATEPEC,3
ATLAZALPAN,1
ATLIXCO,14
ATOTONILCO,27
ATOYAC DE ÁLVAREZ,1
ATZACOALCO,1
AXAPUSCO,7
AYALA,14
AYAPANGO,7
AYOTLA,4
AZCAPOTZALCO,3555
BAHIA DE BANDERAS,9
BANDERILLA,8
BARRIENTOS,1
BENITO JUÁREZ,1108
BOCA DEL RÍO,9
BUENAVISTA,2
CADEREYTA DE MONTES,4
CALCAHUALCO,1
CALIMAYA,9
CALNALI,2
CALPAN,3
CALPULALPAN,16
CALVILLO,2
CAMPECHE,2
CANCÚN,8
CANDELARIA LOXICHA,2
CAPULHUAC,18
CAPULTITLÁN,1
CARDONAL,4
CARLOS A. CARRILLO,1
CARMEN,4
CELAYA,36
CENTLA,1
CENTRO,13
CERRITOS,2
CHALCATONGO DE HIDALGO,1
CHALCHICOMULA DE SESMA,3
CHALCO,1131
CHAPA DE MOTA,6
CHAPINGO,1
CHAPULHUACÁN,1
CHAPULTEPEC,3
CHARAPAN,2
CHENALHÓ,1
CHIAPAS,2
CHIAUTEMPAN,6
CHIAUTLA,34
CHIAUTZINGO,1
CHICHIQUILA,3
CHICOLOAPAN,622
CHICONCUAC,23
CHICONTEPEC,1
CHIGNAHUAPAN,6
CHIHUAHUA,21
CHILA,1
CHILAPA DE ÁLVAREZ,2
CHILPANCINGO,25
CHIMALHUACÁN,2018
CHINAMPAC,1
CHINCONCUIAC,2
CHOLULA,6
CINTALAPA,1
CITLALTEPEC,2
CIUDAD VALLES,2
COACALCO,549
COACOATZINTLA,2
COATEPEC,13
COATLÁN DEL RÍO,2
COATZACOALCOS,5
COATZINTLA,1
COCOTITLÁN,32
COCULA,2
COLIMA,2
COLÓN,3
COMALCALCO,3
COMONFORT,4
CORONANGO,6
CORTÁZAR,2
COXQUIHUI,1
COYOACÁN,2195
COYOTEPEC,57
COZUMEL,3
CUAJIMALPA DE MORELOS,610
CUATITLÁN IZCALLI,698
CUAUHTÉMOC,4380
CUAUTLA,58
CUAUTLALPAN,2
CUERNAVACA,154
CULIACÁN,8
CUSCO,1
CÁRDENAS,2
CÓRDOBA,10
DOLORES HIDALGO,10
DOMINGO ARENAS,2
DONATO GUERRA,7
DOS RÍOS,1
DURANGO,17
ECATEPEC DE MORELOS,5342
ECATZINGO,4
EL ARENAL,2
EL LIMÓN,1
EL MANTE,1
EL MARQUÉS,12
EL MIRADOR,1
EL ORO,10
EL PAREDÓN,1
EL SALTO,9
EMILIANO ZAPATA,21
ENSENADA,6
ESCOBEDO,1
EZEQUIEL MONTES,1
FELIPE CARRILLO PUERTO,2
FORTÍN,1
FRANCISCO I. MADERO,6
FRESNILLO,4
FRONTERA COMALAPA,1
GRAL. ESCOBEDO,4
GRANJAS VALLE DE GUADALUPE,1
GUACHINANGO,1
GUADALAJARA,108
GUADALUPE,17
GUANAJUATO,30
GUSTAVO A. MADERO,9264
HERMOSILLO,16
HERÓICA CIUDAD DE HUAJUAPAN DE LEÓN,5
HIDALGO,29
HUAMANTLA,12
HUAMUXTITLÁN,1
HUASCA DE OCAMPO,2
HUAUCHINANGO,6
HUAUTLA DE JIMÉNEZ,4
HUEHUETLA,3
HUEHUETOCA,131
HUEJOCULCO,1
HUEJOTZINGO,8
HUEJUTLA DE REYES,2
HUEMANCO,1
HUEYOTLIPAN,3
HUEYPOXTLA,21
HUICHAPAN,1
HUITZILAC,5
HUIXQUILUCAN,709
IGNACIO DE LA LLAVE,1
IGUALA,13
INDUSTRIAL SAN LUIS,1
IRAPUATO,14
ISIDRO FABELA,8
IXCATEPEC,3
IXMIQUILPAN,8
IXTACALCO,2
IXTACAMAXTITLÁN,5
IXTACUIXTLA DE MARIANO MATAMOROS,5
IXTAPALUCA,1552
IXTAPAN,6
IXTENCO,6
IXTLAHUACA,33
IYOTLA,1
IZTACALCO,3201
IZTAPALAPA,12453
IZÚCAR DE MATAMOROS,8
JALPAN,3
JALTENCO,31
JALTOCAN,1
JANTETELCO,1
JERECUARO,1
JERÉZ,3
JESÚS MARÍA,3
JILOTEPEC,19
JILOTZINGO,22
JIQUIPILCO,26
JIUTEPEC,36
JOJUTLA,9
JOLALPAN,2
JONACATEPEC,3
JOQUICINGO,1
JOSÉ JOAQUÍN DE HERRERA,1
JOSÉ SIXTO VERDUZCO,1
JUAN C. BONILLA,3
JUAN GALINDO,1
JUCHITEPEC,22
JUCHITÁN,1
JUÁREZ,16
LA HUACANA,4
LA MAGDALENA CONTRERAS,459
LA PAZ,637
LA PIEDAD,1
LAGOS DE MORENO,3
LERMA,63
LEÓN,76
LIMA,1
LOMA BONITA,1
LOMA XICOTÉNCATL,1
LORETO,3
LOS CABOS,9
LOS HEROES,1
LOS REYES,277
MAGDALENA CONTRERAS,601
MALINALCO,3
MALINCHE,1
MANZANILLO,5
MARAVATÍO,7
MARIANO ESCOBEDO,2
MARTÍNEZ DE LA TORRE,3
MATAMOROS,4
MATÍAS ROMERO AVENDAÑO,1
MAZATLÁN,3
MELCHOR OCAMPO,63
METEPEC,89
MEXICALI,5
MIGHEL HIDALGO,2824
MILPA ALTA,877
MINERAL DE LA REFORMA,62
MINERAL DEL MONTE,3
MISANTLA,2
MIXQUIAHUALA,6
MIXTEPEC,1
MOLANGO DE ESCAMILLA,1
MOLCAXAC,1
MONCLOVA,2
MONTERREY,36
MORELIA,118
MOROLEÓN,2
MUNICIPIO LIBRE,1
MÁRTIR DE CUILAPAN,1
MÉRIDA,19
NATIVITAS,3
NAUCALPAN DE JUÁREZ,326
NEXTLALPAN,65
NEZAHUALCÓYOTL,4345
NICOLÁS ROMERO,595
OAXACA DE JUÁREZ,41
OCAMPO,6
OCOSINGO,1
OCOTLÁN,5
OCOYOACAC,73
OJOCALIENTE,2
OJUELOS DE JALISCO,1
ORIZABA,11
OTHÓN P BLANCO,4
OTUMBA,28
OTZOLOTEPEC,18
OZUMBA,21
PACHUCA,22
PANOTLA,11
PAPALOTLA,8
PIEDRAS NEGRAS,2
PLAYA DEL CARMEN,2
PLAYA VICENTE,1
PLAYAS DE ROSARITO,1
PONCITLÁN,1
POZA RICA,10
PROGRESO,4
PUEBLA,325
PUENTE DE IXTLA,2
PUERTO VALLARTA,17
PUNGARABATO,1
PURUÁNDIRO,2
PURÍSIMA DEL RINCÓN,4
PÁTZCUARO,2
QUERÉTARO,202
QUIMIXTLÁN,1
QUIROGA,1
RAFAEL LARA GRAJALES,3
REAL DEL MONTE,1
RIOVERDE,2
ROMITA,1
S MATEO ATENCO,1
SAHUAYO,2
SALAMANCA,8
SALTILLO,9
SALVATIERRA,5
SAN AGUSTÍN TLAXIACA,2
SAN ANDRÉS CHOLULA,13
SAN ANDRÉS TUXTLA,3
SAN ANTONIO LA ISLA,5
SAN BARTOLO,5
SAN BLAS,2
SAN BUENA VENTURA,1
SAN CRISTÓBAL,5
SAN ESTEBAN ATATLAHUCA,1
SAN FELIPE,30
SAN FRANCISCO,4
SAN ISIDRO,3
SAN JERÓNIMO,5
SAN JOSÉ,42
SAN JULIÁN,1
SAN LORENZO AXOCOMANITLA,2
SAN LUCAS,3
SAN LUIS,3
SAN MARCOS,1
SAN MARTÍN DE LAS PIRÁMIDES,27
SAN MATEO,27
SAN MIGUEL,11
SAN NICOLÁS,9
SAN PABLO,6
SAN PEDRO,20
SAN RAFAEL,3
SAN SALVADOR,6
SAN SEBASTIÁN,3
SAN VICENTE,30
SANTA ANA,6
SANTA CATARINA,7
SANTA CRUZ,13
SANTA LUCÍA DEL CAMINO,5
SANTA MARÍA,7
SANTIAGO,14
SANTO TOMÁS,6
SILAO,5
SIN DATO,6947
SOLEDAD DE GRACIANO SÁNCHEZ,11
SOLIDARIDAD,25
SOLTEPEC,5
SOYANIQUILPAN DE JUÁREZ,3
SULTEPEC,3
TACÁMBARO,3
TAHMEK,1
TAMPICO,11
TANGANCÍCUARO,2
TAPACHULA,3
TARÍMBARO,10
TAXCO DE ALARCÓN,7
TECALI DE HERRERA,2
TECAMACHALCO,6
TECOLUTLA,2
TECOMATLÁN,2
TECOZAUTLA,1
TECÁMAC,1005
TEHUACÁN,15
TEJUPILCO,7
TELOLOAPAN,1
TEMANTLA,18
TEMASCALAPA,31
TEMASCALCINGO,9
TEMASCALTEPEC,2
TEMIXCO,23
TEMOAYA,12
TENANCINGO,23
TENANGO,36
TEOLOCHOLCO,3
TEOLOYUCAN,93
TEOTIHUACÁN,59
TEPEAPULCO,14
TEPEAPULOC,1
TEPECOACUILCO DE TRUJANO,1
TEPEJI DEL RÍO,9
TEPETITLA DE LARDIZÁBAL,5
TEPETLAOXTOC,21
TEPETLIXPA,15
TEPEYANCO,1
TEPEYUALCO,1
TEPIC,11
TEPIPAN,4
TEPOTZOTLÁN,88
TEQUISQUIAPAN,6
TEQUIXQUIAC,17
TETELA DEL VOLCÁN,4
TETLATLAHUCA,1
TEXCOCO,436
TEZIUTLÁN,8
TEZONTEPEC DE ALDAMA,4
TEZOYUCA,43
TEZOZAUTLA,1
TIANGUISTENCO,20
TIJUANA,22
TIZAYUCA,133
TIZAYUCAN,1
TLACHICHUCA,1
TLAHUAPAN,2
TLAHUELILPAN,3
TLAJOMULCO DE ZÚÑIGA,15
TLALMANALCO,61
TLALNEPANTLA DE BAZ,1784
TLALPAN,2162
TLALPUJAHUA,5
TLALTIZAPÁN,6
TLAQUEPAQUE,32
