GameId,GameName,Description
148494,"1,2,3! Now you see me...","The animals on the farm are playing a game of &quot;red light/green light&quot;, but they decided to change a few of the rules without telling Bonaparte the pig! Are you ready for the surprise?<br/><br/>In 1,2,3! Now you see me..., one of the players takes a bunch of animals, lets them fall on the table, and asks the rest of the players to close their eyes. While nobody is looking, he takes an action with the animals (move an animal, add an animal, hide an animal, or trade places with two animals), then tells his friends to open their eyes.<br/><br/>Let's see if they know which animal (or animals) took the action! Each player who gives the right answer scores 1 point, then it starts all over again!<br/><br/>"
316377,7 Wonders (Second Edition),"7 Wonders<br/>The board game with more awards than any other game on the planet.<br/>With over 30 international awards, and over a million copies sold throughout the world, rediscover 7 Wonders, the game which has won more awards than any other game in the world, in a whole new version.   Lauded by both the public and critics, 7 Wonders has claimed its place as an unmissable reference point in modern board gaming. 7 Wonders is based on a simple and elegant mechanic (drafting) which allows up to 7 players to play with no dead time. Players make their choice and apply all of them at the same time. These choices are varied and their impact is real. Finally, the game is divided into 3 Ages which little by little increase the importance of these choices and thus the tension in the game. The global mechanics and the care given to the artwork are used to immerse the player in Antiquity and have contributed to the game&rsquo;s success.<br/>A game plays out over 3 rounds, called Ages, during which you simultaneously play cards, one at a time, to develop your City.<br/><br/>These cards represent the various Buildings you can construct: resource producers, civilian, commercial, military, scientific structures, and guilds.<br/><br/>At the end of each Age, you go to war with your nearest neighbours. At the end of all 3 Ages, you tally up all of the victory points earned by your City, your wonder, your military prowess, and your treasury. The player with the highest score wins the game.<br/><br/>Content:<br/>7 Wonder boards<br/>148 Age cards: 49 Age I cards, 49 Age II cards, and 50 Age III cards<br/>78 Coins: 54 Coins of value 1, and 24 Coins of value 3<br/>48 Military Conflict tokens: 24 Defeats and 24 Victories (8 per Age)<br/>1 pad of score sheets<br/>3 quick reference sheets describing the effects of the cards<br/>1 List of cards and chaining leaflet<br/>1 rulebook<br/><br/>"
155987,Abyss,"The Abyss power is once again vacant, so the time has come to get your hands on the throne and its privileges. Use all of your cunning to win or buy votes in the Council. Recruit the most influential Lords and abuse their powers to take control of the most strategic territories. Finally, impose yourself as the only one able to rule the Abyssal people!<br/><br/>Abyss is a game of development, combination and collection in which players try to take control of strategic locations in an underwater city. To achieve this, players must develop on three levels: first by collecting allies, then using them to recruit Lords of the Abyss, who will then grant access to different parts of the city. Players acquire cards through a draft of sorts, and the Lords of the Abyss acquired on those cards grant special powers to the cardholder &mdash; but once you use the cards to acquire a location, that power is shut off, so players need to time their land grabs well in order to put themselves in the best position for when the game ends.<br/><br/>"
21569,Adigma,"Adigma is a party game which involves simultaneous riddle and puzzle solving. Riddles come in a wide variety: identifying a photograph, deciphering secret messages, memorizing images, and many more.<br/>It's an addictive game for friends and family with some luck factor based on a dynamically built board with some 'surprise' spaces.<br/><br/>"
31260,Agricola,"Description from BoardgameNews<br/><br/>In Agricola, you're a farmer in a wooden shack with your spouse and little else. On a turn, you get to take only two actions, one for you and one for the spouse, from all the possibilities you'll find on a farm: collecting clay, wood, or stone; building fences; and so on. You might think about having kids in order to get more work accomplished, but first you need to expand your house. And what are you going to feed all the little rugrats?<br/><br/>The game supports many levels of complexity, mainly through the use (or non-use) of two of its main types of cards, Minor Improvements and Occupations. In the beginner's version (called the Family Variant in the U.S. release), these cards are not used at all. For advanced play, the U.S. release includes three levels of both types of cards; Basic (E-deck), Interactive (I-deck), and Complex (K-deck), and the rulebook encourages players to experiment with the various decks and mixtures thereof. Aftermarket decks such as the Z-Deck and the L-Deck also exist.<br/><br/>Agricola is a turn-based game. There are 14 game rounds occurring in 6 stages, with a Harvest at the end of each stage (after Rounds 4, 7, 9, 11, 13, and 14).<br/>Each player starts with two playing tokens (farmer and spouse) and thus can take two turns, or actions, per round. There are multiple options, and while the game progresses, you'll have more and more: first thing in a round, a new action card is flipped over.<br/>Problem: Each action can be taken by only one player each round, so it's important to do some things with high preference.<br/>Each player also starts with a hand of 7 Occupation cards (of more than 160 total) and 7 Minor Improvement cards (of more than 140 total) that he/she may use during the game if they fit in his/her strategy. Speaking of which, there are countless strategies, some depending on your card hand. Sometimes it's a good choice to stay on course, and sometimes it is better to react to your opponents' actions...<br/><br/>"
161970,Alchemists,"In Alchemists, two to four budding alchemists compete to discover the secrets of their mystical art. Points can be earned in various ways, but most points are earned by publishing theories &ndash; correct theories, that is &mdash; and therein lies the problem.<br/><br/>The game is played in six rounds. At the beginning of the round, players choose their play order. Those who choose to play later get more rewards.<br/>Players declare all their actions by placing cubes on the various action spaces, then each action space is evaluated in order. Players gain knowledge by mixing ingredients and testing the results using a smartphone app (iOS, Android, and also Windows) that randomizes the rules of alchemy for each new game. And if the alchemists are longing for something even more special, they can always buy magical artifacts to get an extra push. There are 9 of them (different for each game) and they are not only very powerful, but also very expensive. But money means nothing, when there's academic pride at stake! And the possession of these artifacts will definitely earn you some reputation too. Players can also earn money by selling potions of questionable quality to adventurers, but money is just a means to an end. The alchemists don't want riches, after all. They want respect, and respect usually comes from publishing theories.<br/><br/>During play, players' reputations will go up and down. After six rounds and a final exhibition, reputation will be converted into points. Points will also be scored for artifacts and grants. Then the secrets of alchemy are revealed and players score points or lose points based on whether their theories were correct. Whoever has the most points at the end of the game wins.<br/><br/>Flavor text:<br/>Mandrake root and scorpion tail; spongy mushroom and warty toad &mdash; these are the foundations of the alchemist's livelihood, science, and art.<br/><br/>But what arcane secrets do these strange ingredients hide? Now it is time to find out. Mix them into potions and drink them to determine their effects &mdash; or play it safe and test the concoction on a helpful assistant! Gain riches selling potions to wandering adventurers and invest these riches in powerful artifacts. As your knowledge grows, so will your reputation, as you publish your theories for all to see. Knowledge, wealth, and fame can all be found in the murky depths of the alchemist's cauldron.<br/><br/>"
124742,Android: Netrunner,"Welcome to New Angeles, home of the Beanstalk. From our branch offices in this monument of human achievement, NBN proudly broadcasts all your favorite media programming. We offer fully comprehensive streaming in music and threedee, news and sitcoms, classic movies and sensies. We cover it all. Ours is a brave new age, and as humanity hurtles into space and the future with an astonishing series of new advances every day, NBN and our affiliates are keeping pace, bringing you all the vid that's fit to view.<br/><br/>Android: Netrunner is an asymmetrical Living Card Game for two players. Set in the cyberpunk future of Android and Infiltration, the game pits a megacorporation and its massive resources against the subversive talents of lone runners.<br/><br/>Corporations seek to score agendas by advancing them. Doing so takes time and credits. To buy the time and earn the credits they need, they must secure their servers and data forts with &quot;ice&quot;. These security programs come in different varieties, from simple barriers, to code gates and aggressive sentries. They serve as the corporation's virtual eyes, ears, and machine guns on the sprawling information superhighways of the network.<br/><br/>In turn, runners need to spend their time and credits acquiring a sufficient wealth of resources, purchasing the necessary hardware, and developing suitably powerful ice-breaker programs to hack past corporate security measures. Their jobs are always a little desperate, driven by tight timelines, and shrouded in mystery. When a runner jacks-in and starts a run at a corporate server, he risks having his best programs trashed or being caught by a trace program and left vulnerable to corporate countermeasures. It's not uncommon for an unprepared runner to fail to bypass a nasty sentry and suffer massive brain damage as a result. Even if a runner gets through a data fort's defenses, there's no telling what it holds. Sometimes, the runner finds something of value. Sometimes, the best he can do is work to trash whatever the corporation was developing.<br/><br/>The first player to seven points wins the game, but not likely before he suffers some brain damage or bad publicity.<br/><br/>The Revised Core Set for Android: Netrunner released in late 2017 includes cards from the original Core Set released in 2012 as well as cards from the Genesis Cycle and Spin Cycle series of Data Packs. While the cards in this set have been released previously, the art on some of them is new.<br/><br/>"
17329,Animal Upon Animal,"The animals want to show how good they are at making tall pyramids!  They must be skillfully careful: Who will position the penguin on top of the crocodile, the sheep on top of the penguin, the serpent on the sheep?  The hedgehog wants to stand on top of the pyramid but the height is making him dizzy.<br/><br/>Tier auf Tier (a.k.a. Animal Upon Animal, Pyramide d'animaux, and Dier op dier) is a simple stacking game, listed for ages 4-99, with 29 cute wooden animals.<br/><br/>Each turn a player rolls the die and either places one or two animals on to the stack of animals, passes one of his or her animals to another player for them to place, or places an animal on the table, extending the base for other players to build upon. Of course, if any pieces fall off whilst you are building, you get up to two of them back. The first player to have used all of their animals wins.<br/><br/>This game, intended for children, is equally popular with adults.<br/><br/>"
25643,Arkadia,"Arkadia is a game about building the city and castle of Arkadia.<br/><br/>Players use builders, cards, workers, and neutral workers to build houses in Arkadia. Houses are built with the seal of one of 4 families; this family gave the building order and will get the building player its seal.<br/><br/>These seals can be changed for victory points. But seals are subject to changing values. The growing castle (every time a house is built, players also build on the castle) has the 4 seals on it as well, which decides the value of each seal. The castle is also the game's timer: once the second layer is built, the last round starts. The player with the most gold wins.<br/><br/>Released: Essen 2006.<br/><br/>Online Play<br/><br/>     Yucata (turn-based)<br/><br/><br/>"
12005,Around the World in 80 Days,"Inspired by the Jules Verne novel, players are following in Phileas Fogg and Passepartout's footsteps,  attempting to travel around the world in 80 days on a map with Victorian-era decorations.<br/><br/>On a player's turn, he chooses one of the face-up travel cards. Each card comes with an extra (getting to be first player in the next round, for example). Then he decides whether to travel to the next city. Does he want to wait until the next round in hopes of better cards, or will he make his journey now? If so, he must have and play the required travel cards. The two transportation types are trains and ships. For example, 2 ship cards are required to travel from Suez to Bombay, so 2 ship cards must be played; train cards won't help in this instance. Time is spent each step of the way in the form of days, and (while meeting certain other requirements) the winner is the player who spends the fewest number of days getting around the world. The number of days depends on the travel cards used, plus help from special cards, hindrance from the meandering detective, and so on.<br/><br/>"
