UserName,GameId,GameName,Status,UserRanking,Ranking
gandalfgrismx,148494,"1,2,3! Now you see me...",1,7,6.06084
gandalfgrismx,316377,7 Wonders (Second Edition),1,N/A,7.95069
gandalfgrismx,155987,Abyss,1,10,7.32909
gandalfgrismx,21569,Adigma,1,7,7.52585
gandalfgrismx,31260,Agricola,1,10,7.90633
gandalfgrismx,161970,Alchemists,1,N/A,7.66002
gandalfgrismx,124742,Android: Netrunner,1,10,7.87582
gandalfgrismx,17329,Animal Upon Animal,1,7,6.80135
gandalfgrismx,25643,Arkadia,1,9,6.90737
gandalfgrismx,12005,Around the World in 80 Days,1,6,6.54815
gandalfgrismx,230802,Azul,1,8,7.77555
gandalfgrismx,287954,Azul: Summer Pavilion,1,9,7.71293
gandalfgrismx,302388,Back to the Future: Back in Time,1,8,7.29392
gandalfgrismx,27225,Bananagrams,1,7,6.37392
gandalfgrismx,2453,Blokus,1,8,6.86304
gandalfgrismx,231696,Bob Ross: Art of Chill Game,1,6,6.7997
gandalfgrismx,332386,Brew,1,8,7.21343
gandalfgrismx,184921,Bunny Kingdom,1,8,7.45312
gandalfgrismx,822,Carcassonne,1,8,7.41423
gandalfgrismx,164127,Carcassonne Big Box 5,1,9,7.90971
gandalfgrismx,89952,Carcassonne: 10 Year Special Edition,1,8,7.68223
gandalfgrismx,13,CATAN,1,8,7.11796
gandalfgrismx,102794,Caverna,1,10,7.98508
gandalfgrismx,113428,Cazadores de Fosiles,1,7,6.56316
gandalfgrismx,270970,Century: A New World,1,8,7.38351
gandalfgrismx,38194,Cheaty Mages!,1,8,6.24976
gandalfgrismx,11971,Cockroach Poker,1,7,6.77034
gandalfgrismx,32341,Cockroach Salad,1,6,6.14536
gandalfgrismx,198773,Codenames: Pictures,1,8,7.21692
gandalfgrismx,42685,Connect 4x4,1,7,5.79936
gandalfgrismx,245476,CuBirds,1,9,6.95336
gandalfgrismx,221371,DC Spyfall,1,8,6.4853
gandalfgrismx,194594,Dice Forge,1,9,7.25336
gandalfgrismx,121288,Dixit: Journey,1,9,7.39791
gandalfgrismx,246701,DOS,1,5,4.96591
gandalfgrismx,264055,Draftosaurus,1,8,7.13506
gandalfgrismx,232219,Dragon Castle,1,8,7.14798
gandalfgrismx,244916,Drop It,1,8,6.91598
gandalfgrismx,38154,Electronic Pictionary Man,1,7.5,5.40702
gandalfgrismx,12346,La escalera encantada,1,7,6.41925
gandalfgrismx,172225,Exploding Kittens,1,5,6.04605
gandalfgrismx,83195,Fantasma Blitz,1,7,6.70903
gandalfgrismx,223538,Fast Food Fear!,1,6,6.16226
gandalfgrismx,171129,Fila Filo,1,7,6.47514
gandalfgrismx,136063,Forbidden Desert,1,8,7.10429
gandalfgrismx,65244,Forbidden Island,1,7,6.77604
gandalfgrismx,245271,Forbidden Sky,1,8,6.47062
gandalfgrismx,37904,Formula D,1,7,7.01238
gandalfgrismx,142296,Funemployed,1,4,6.6955
gandalfgrismx,31481,Galaxy Trucker: Aventuras en el Espacio,1,10,7.37194
gandalfgrismx,220877,Ganges,1,10,7.72835
gandalfgrismx,303051,Godzilla: Tokyo Clash,1,N/A,7.33217
gandalfgrismx,98778,Hanabi,1,6,7.06006
gandalfgrismx,43015,Hansa Teutonica,1,8,7.71324
gandalfgrismx,153484,Hedbanz Act Up!,1,6,5.92041
gandalfgrismx,292732,Hedbanz Adulting,1,4,6.0625
gandalfgrismx,23049,Hedbanz for Kids,1,5,5.3399
gandalfgrismx,174078,Holmes: Sherlock & Mycroft,1,7,6.82327
gandalfgrismx,177524,ICECOOL,1,8,6.80239
gandalfgrismx,191862,Imhotep,1,8,7.15933
gandalfgrismx,28023,Jamaica,1,8,7.06707
gandalfgrismx,161929,Jardín Botánico de Tehuacán,1,6,5.51429
gandalfgrismx,193042,Junk Art,1,8,7.38732
gandalfgrismx,172552,Karmaka,1,9,6.58024
gandalfgrismx,257501,KeyForge: Call of the Archons,1,9,7.16796
gandalfgrismx,119,Kingdoms,1,8,6.64948
gandalfgrismx,19259,Kumare,1,N/A,4.87817
gandalfgrismx,136991,Loony Quest,1,9,6.90582
gandalfgrismx,203993,Lorenzo il Magnifico,1,9,7.8701
gandalfgrismx,41916,The Magic Labyrinth,1,8,6.82076
gandalfgrismx,437,Master Labyrinth,1,8,6.28931
gandalfgrismx,255639,Mesozooic,1,7,6.39071
gandalfgrismx,54239,Mindflex,1,N/A,4.78
gandalfgrismx,118,Modern Art,1,8,7.46371
gandalfgrismx,327797,Monopoly Bid,1,6,5.88101
gandalfgrismx,40398,Monopoly Deal Card Game,1,6,6.28515
gandalfgrismx,295824,Monopoly Speed,1,4,5.24194
gandalfgrismx,287322,Mystic Market,1,8,7.13476
gandalfgrismx,273477,Obscurio,1,9,7.18587
gandalfgrismx,303057,Pan Am,1,8,7.57719
gandalfgrismx,30549,Pandemic,1,8,7.56622
gandalfgrismx,255034,Papua,1,7,6.68522
gandalfgrismx,16314,Party Scrabble,1,N/A,5.67333
gandalfgrismx,2593,Pass the Pigs,1,7.5,5.40514
gandalfgrismx,312804,Pendulum,1,8,6.55353
gandalfgrismx,6235,The Perilous Parlor Game,1,N/A,5.56138
gandalfgrismx,1258,Phase 10,1,6,5.16261
gandalfgrismx,2281,Pictionary,1,N/A,5.83234
gandalfgrismx,214282,Pictionary Man Double Draw,1,5,5.58333
gandalfgrismx,175739,Pictopia: Disney Edition,1,7,5.67963
gandalfgrismx,140,Pit,1,6,6.38623
gandalfgrismx,252929,Planet,1,8,6.70675
gandalfgrismx,180974,Potion Explosion,1,9,7.13877
